Size,Nama Gambar,Mean Red,Variance Red,Standar Deviation Red,Skewness Red,Kurtosis Red,Mean Green,Variance Green,StandarDeviation Green,Skewness Green,Kurtosis Green,Mean Blue,Variance Blue,Standar Deviation Blue,Skewness Blue,Kurtosis Blue,Mean Hue,Variance Hue,Standar Deviation Hue,Skewness Hue,Kurtosis Hue,Mean Saturation,Variance Saturation,Standar Deviation Saturation,Skewness Saturation,Kurtosis Saturation,Mean Value,Variance Value,Standar Deviation Value,Skewness Value,Kurtosis Value,Tingkat Kematangan
6,  SC 0.4.JPG, 33.37777416, 908.18547016, 30.13611616, 1.39569116, 1.57475316, 42.96552316, 1198.62685316, 34.62119116, 1.14117116, 0.73862616, 31.27873416, 782.11537716, 27.96632616, 1.44985516, 1.89956516,  60.34473516, 358.58141716, 18.93624616, -0.29704116, 0.26569116, 89.94025716, 1443.17418916, 37.98913316, 0.70527916, 0.60712216, 43.20558216, 1206.69461616, 34.73751016, 1.13062516, 0.70523916, 0
6,  SC 0.5.JPG, 32.95296816, 810.29639616, 28.46570616, 1.47884916, 2.10290716, 42.91452616, 1153.18343516, 33.95855516, 1.31494616, 1.69405216, 29.99043816, 884.20421516, 29.73557216, 1.80307316, 3.44613216,  58.07187016, 366.82352916, 19.15263816, 0.12035016, 0.00058316, 98.41672216, 2570.80359716, 50.70309316, 0.95274816, 0.50996716, 43.11653116, 1155.25626416, 33.98906116, 1.30467116, 1.66197416, 0
6,  SC 0.6.JPG, 33.13126316, 888.37898316, 29.80568716, 1.48177416, 2.13441916, 44.42220216, 1243.42945016, 35.26229516, 1.27516516, 1.45432516, 30.21619316, 844.43728316, 29.05920316, 1.61834316, 2.63882416,  58.04753816, 262.59383016, 16.20474716, 0.06036716, 0.48626616, 105.05228016, 1954.95742416, 44.21490016, 0.84118916, 0.58477416, 44.55991816, 1245.71287416, 35.29465816, 1.26940016, 1.43713916, 0
6,  SC 0.7.JPG, 34.98289716, 720.68407316, 26.84556016, 1.24408416, 1.58307916, 42.54950116, 900.59646716, 30.00993916, 1.13186816, 1.23030216, 34.05332916, 689.52145016, 26.25874016, 1.33337116, 1.96171016,  61.39176716, 392.89203016, 19.82150416, -0.12108616, -0.16234616, 73.03669316, 1031.80041116, 32.12165016, 1.02563216, 1.52896316, 42.73288816, 904.15783316, 30.06921716, 1.12321616, 1.20223316, 0
6,  SC 0.8.JPG, 33.47191716, 917.03239816, 30.28254316, 1.42776016, 1.85078616, 44.00551916, 1271.11440616, 35.65269116, 1.14590216, 0.88015616, 32.52023216, 821.00517816, 28.65318816, 1.49442516, 2.33187116,  63.49710416, 374.57348716, 19.35390116, -0.17920716, 0.06997216, 89.47479316, 1368.80927516, 36.99742316, 0.70113716, 0.65211616, 44.19710816, 1273.48610216, 35.68593716, 1.13832516, 0.85699916, 0
6,  SC 0.9.JPG, 32.62004916, 843.85232816, 29.04913616, 1.35358116, 1.67036816, 41.50647216, 1190.96753016, 34.51039716, 1.13111116, 0.83038016, 31.33373516, 803.23184916, 28.34134516, 1.48378416, 2.21117016,  61.63583016, 530.22899416, 23.02670216, -0.09733116, 0.31072916, 82.03214516, 1519.43895016, 38.97998116, 0.67810516, 0.78206516, 41.80293116, 1194.48343516, 34.56130016, 1.11862616, 0.79102316, 0
6,  SC 1.1.JPG, 34.82605816, 957.80178116, 30.94837316, 1.44290116, 1.93567716, 50.26104916, 1369.92003416, 37.01243116, 1.03841116, 0.65339616, 29.03004616, 678.02867816, 26.03898416, 1.60156016, 2.90782416,  57.40980316, 239.69363516, 15.48204216, 0.11092816, -0.00260516, 124.30916916, 1824.45630416, 42.71365516, 0.36706116, -0.26517116, 50.52734516, 1378.56722816, 37.12906216, 1.02360716, 0.60358716, 1
6,  SC 1.10.JPG, 51.01912416, 1156.31200316, 34.00458816, 1.04116416, 0.68980316, 59.40370016, 1179.28784816, 34.34076116, 0.89681816, 0.46605016, 33.82683616, 736.51238316, 27.13876216, 1.54352016, 2.56014416,  42.84533816, 119.58476216, 10.93548216, 0.19134116, 0.57672616, 120.75212816, 1991.33881416, 44.62441916, 0.06415716, -0.54948316, 60.19998416, 1210.11755016, 34.78674416, 0.87257116, 0.37890316, 1
6,  SC 1.11.JPG, 48.95440616, 1404.99531716, 37.48326716, 1.07785816, 0.50168716, 63.93784716, 1457.09366516, 38.17189616, 0.83080416, 0.04991716, 33.22019716, 1093.39266116, 33.06648816, 1.52950816, 1.93733816,  47.93477716, 159.37753816, 12.62448216, 0.29485316, 0.34240216, 144.15271916, 3026.89975016, 55.01726816, -0.09729916, -0.90982616, 64.40416716, 1466.08122016, 38.28944016, 0.81562416, 0.01876916, 1
6,  SC 1.12.JPG, 44.59451216, 1374.79118216, 37.07817716, 1.26083916, 0.84974216, 52.34819416, 1359.66760816, 36.87367116, 1.19163816, 0.91705116, 23.89928916, 794.40426216, 28.18517816, 1.91506016, 3.46095916,  40.44890616, 87.44074416, 9.35097616, -0.11156516, 0.42139616, 159.38896916, 2840.12332216, 53.29280716, -0.34362416, -0.69054116, 53.44222016, 1422.46131816, 37.71553216, 1.15363216, 0.73564416, 1
6,  SC 1.13.JPG, 46.02720916, 1534.38750516, 39.17125916, 1.25907016, 0.84993716, 59.66824716, 1687.82031816, 41.08309016, 1.03468616, 0.37685616, 34.36016616, 1189.47145716, 34.48871516, 1.65871516, 2.32783716,  49.63800716, 155.11606016, 12.45456016, -0.23262816, 0.20779916, 128.10735816, 2625.97867816, 51.24430416, 0.12963816, -0.75877116, 60.32953716, 1722.29496216, 41.50054216, 1.01367016, 0.30857216, 1
6,  SC 1.14.JPG, 44.24872716, 1401.81977016, 37.44088416, 1.28582016, 1.06008316, 52.97710616, 1437.62961716, 37.91608716, 1.07549716, 0.58389616, 25.59260716, 775.01147116, 27.83902816, 1.92534616, 3.74087816,  43.00909616, 103.40829816, 10.16898716, -0.08561016, 0.81654816, 144.89773416, 2917.87794216, 54.01738616, -0.16142416, -0.85507716, 53.99475316, 1506.93152016, 38.81921616, 1.06051316, 0.50238516, 1
6,  SC 1.15.JPG, 47.86959216, 1164.67284016, 34.12730316, 1.12887816, 0.77085516, 51.22043016, 1113.18980616, 33.36449916, 1.09642616, 0.86307416, 25.57799216, 575.05097016, 23.98022016, 1.80618316, 3.66518016,  36.26703516, 62.52738416, 7.90742616, -0.15554616, 1.02823816, 139.35379216, 2515.59689816, 50.15572616, -0.14409616, -0.58806616, 52.76359516, 1187.28749816, 34.45703816, 1.04746916, 0.65140216, 1
6,  SC 1.16.JPG, 45.77051316, 1411.61716216, 37.57149416, 1.27435516, 1.04073416, 61.46235516, 1489.57682116, 38.59503616, 0.95573516, 0.30624716, 26.95821516, 842.74633016, 29.03009416, 1.84054416, 3.38986616,  46.86753216, 127.10209716, 11.27395716, 0.13809116, 0.42905216, 160.01772516, 2680.74904416, 51.77595016, -0.28770716, -0.71879516, 61.88727816, 1499.78959416, 38.72711716, 0.94298016, 0.27535716, 1
6,  SC 1.17.JPG, 43.23395716, 1116.21498916, 33.40980416, 1.26423616, 1.02549216, 59.67734316, 1143.38710316, 33.81400816, 0.99236016, 0.48821816, 24.39184516, 662.72070316, 25.74336216, 1.85274216, 3.56632216,  46.60034216, 136.33579716, 11.67629216, 0.00769416, 0.35137016, 166.67368916, 2579.82405416, 50.79196816, -0.34243516, -0.67098716, 60.26590716, 1153.33545516, 33.96079316, 0.97467816, 0.42837616, 1
6,  SC 1.18.JPG, 40.82695216, 1248.37151516, 35.33230116, 1.23795916, 0.79184216, 52.33466816, 1346.47681416, 36.69437016, 0.95721116, 0.17609416, 23.58875916, 659.92113316, 25.68893016, 1.78644316, 3.13043616,  46.28040616, 147.12777616, 12.12962416, 0.20136016, 0.54185216, 152.51331316, 2881.12622216, 53.67612316, -0.06014816, -0.82276916, 53.04726616, 1383.91116116, 37.20095616, 0.94109616, 0.12098516, 1
6,  SC 1.19.JPG, 42.63392516, 1304.16163816, 36.11317816, 1.35002316, 1.43631416, 55.01065016, 1375.65035716, 37.08976116, 1.02950416, 0.67878416, 27.31496116, 808.92928816, 28.44168216, 1.78804516, 3.39971716,  46.96987616, 142.66406216, 11.94420616, 0.13505616, 0.39484616, 145.48066216, 2832.26440716, 53.21902316, -0.08846916, -0.92304016, 55.58568816, 1406.01107216, 37.49681416, 1.01868316, 0.62399316, 1
6,  SC 1.2.JPG, 36.90239816, 994.23361316, 31.53147016, 1.38961316, 1.45248516, 50.78944316, 1213.34970116, 34.83317016, 1.11925216, 0.78903416, 25.86325616, 733.78391316, 27.08844616, 1.90097416, 4.04104716,  50.13930916, 163.76019316, 12.79688216, 0.23170416, 0.68321216, 144.26722916, 2552.21642716, 50.51946616, 0.06500816, -0.80855116, 51.15909416, 1222.23609716, 34.96049316, 1.10343616, 0.74050416, 1
6,  SC 1.20.JPG, 51.42457316, 1307.69709216, 36.16209516, 1.14647516, 0.79157116, 61.75854216, 1306.32465416, 36.14311416, 0.94293516, 0.43302916, 34.97784416, 742.68877316, 27.25231716, 1.54590516, 2.55039616,  45.56640916, 138.45029516, 11.76649016, 0.15725616, 0.49071916, 119.72822316, 1848.72416016, 42.99679216, 0.16374916, -0.58319716, 62.43534016, 1341.53814016, 36.62701416, 0.92847116, 0.36710816, 1
6,  SC 1.3.JPG, 45.89330316, 1491.32061416, 38.61762116, 1.21674916, 0.84059816, 59.55253216, 1577.29568316, 39.71518216, 1.00988416, 0.47704316, 32.62137116, 1104.84944316, 33.23927616, 1.69332116, 2.70433316,  49.49628816, 184.36746516, 13.57819816, 0.21512916, 0.10235816, 137.29230016, 2759.19575216, 52.52804716, 0.01900416, -0.85506116, 60.07618516, 1601.46127216, 40.01826216, 0.98966516, 0.40356916, 1
6,  SC 1.4.JPG, 42.30559316, 1220.64904916, 34.93778816, 1.30418416, 1.22874816, 49.98694016, 1262.83602616, 35.53640416, 1.07924516, 0.70981016, 22.42916016, 619.13708516, 24.88246516, 1.92584216, 3.97469616,  40.93244516, 97.34978616, 9.86659916, 0.50572516, 2.46757616, 153.67244516, 3030.82448516, 55.05292416, -0.22469116, -0.79144516, 50.87655016, 1313.83945916, 36.24692316, 1.06008316, 0.61189716, 1
6,  SC 1.5.JPG, 41.78687816, 1252.59358016, 35.39199916, 1.39734416, 1.55206416, 56.57562116, 1368.67513916, 36.99561016, 1.07618116, 0.69269916, 23.60679416, 630.95982016, 25.11891416, 1.92731216, 4.04482116,  47.19520316, 125.62643616, 11.20832016, 0.11583716, 0.70356116, 160.97290816, 2446.26409516, 49.45972216, -0.23011516, -0.68714116, 57.03735416, 1384.60503416, 37.21028116, 1.06144716, 0.64367216, 1
6,  SC 1.6.JPG, 29.75667616, 877.06541216, 29.61529016, 1.61558416, 2.38478816, 42.36716316, 1242.40293016, 35.24773716, 1.26483816, 1.14500516, 22.88848316, 600.76129416, 24.51043216, 1.98603716, 4.39891216,  54.67485516, 231.90450016, 15.22841116, 0.08633016, 0.55271116, 130.45769016, 2302.24145616, 47.98167816, 0.16224116, -0.48164016, 42.64154416, 1251.08327416, 35.37065616, 1.24778316, 1.08393816, 1
6,  SC 1.7.JPG, 40.11011816, 1079.39341716, 32.85412316, 1.28859616, 1.25356516, 50.31698216, 1162.72362616, 34.09873416, 1.09685516, 0.90671216, 27.62595716, 842.47576716, 29.02543316, 1.81089216, 3.19216916,  47.68978116, 189.43019316, 13.76336416, 0.07574216, -0.08933216, 133.00423716, 3126.55510116, 55.91560716, 0.22274916, -0.84482216, 51.11241116, 1199.76665316, 34.63764816, 1.07118216, 0.79792816, 1
6,  SC 1.8.JPG, 41.17370916, 1201.86840916, 34.66797416, 1.27497016, 1.02996916, 50.01057316, 1269.74015116, 35.63341316, 1.04601416, 0.48903116, 25.08667916, 692.08748816, 26.30755616, 1.78948816, 3.07460216,  44.06576716, 115.62733116, 10.75301516, 0.06506416, 0.91438416, 140.53469116, 2871.42776916, 53.58570516, -0.05510116, -0.86949116, 50.85917516, 1321.60502216, 36.35388616, 1.03095216, 0.41797416, 1
6,  SC 1.9.JPG, 50.97811616, 1445.27002616, 38.01670716, 1.11748616, 0.68484016, 56.25113716, 1391.05443516, 37.29684216, 0.97073116, 0.39770916, 26.69712816, 625.92194716, 25.01843216, 1.86865416, 4.22176216,  38.03471116, 56.48931116, 7.51593716, -0.06043216, 1.19377316, 140.55579716, 2368.40199216, 48.66623116, -0.01055716, -0.56783916, 57.24993216, 1460.18747316, 38.21239916, 0.96213016, 0.35970416, 1
6,  SC 2.1.JPG, 51.90500316, 1758.47313316, 41.93415216, 1.03700816, 0.26318116, 63.61456816, 1764.47461916, 42.00565016, 0.83220016, -0.00434016, 30.67190116, 889.41256016, 29.82302116, 1.79647416, 3.50936816,  47.01652016, 226.83837316, 15.06115416, 0.09911116, -0.44117916, 141.32561116, 2546.44427316, 50.46230516, 0.19726516, -0.66390016, 65.15520716, 1849.75282816, 43.00875316, 0.79510116, -0.13300916, 2
6,  SC 2.10.JPG, 49.81976116, 1268.94220816, 35.62221516, 0.95244916, 0.38645616, 66.45586316, 1412.24316416, 37.57982416, 0.62736016, -0.18077216, 34.80946116, 896.13169516, 29.93545916, 1.35401716, 1.75622116,  49.72771816, 215.27395116, 14.67221716, -0.02709916, -0.22519816, 139.10195516, 2345.36366216, 48.42895516, 0.18761716, -0.63933816, 67.43009316, 1448.27528716, 38.05621216, 0.60280816, -0.25360716, 2
6,  SC 2.11.JPG, 54.15878316, 1873.57748516, 43.28484116, 0.99009916, 0.07297616, 67.17821716, 1912.47624516, 43.73186816, 0.69282916, -0.40176016, 35.96074216, 841.17695516, 29.00305116, 1.20536716, 1.03551616,  51.84285016, 322.66771516, 17.96295416, 0.05797416, -0.77912416, 126.22979716, 2384.85739916, 48.83500216, 0.53866816, -0.25017616, 68.55980116, 1990.18151916, 44.61145116, 0.66339516, -0.49162216, 2
6,  SC 2.12.JPG, 51.29482616, 1441.06300016, 37.96133616, 1.03422716, 0.70078316, 68.98515216, 1491.38017316, 38.61839216, 0.76534816, 0.40272216, 31.83002316, 1023.43278016, 31.99113616, 1.85457416, 3.90618516,  48.21650416, 185.62917216, 13.62458016, 0.08362716, -0.28210416, 154.37062216, 2673.57448216, 51.70661916, -0.15392316, -0.69566316, 69.75492716, 1513.71841016, 38.90653416, 0.74223816, 0.32362216, 2
6,  SC 2.13.JPG, 47.66202816, 1351.99900216, 36.76953916, 1.11064716, 0.71349616, 64.20791416, 1404.57027416, 37.47759716, 0.75765416, 0.13906816, 30.81284316, 872.92194016, 29.54525216, 1.62165316, 2.59945316,  49.58557216, 229.53966316, 15.15056616, 0.07920516, -0.18515216, 149.71753416, 2543.44796416, 50.43260816, -0.00765716, -0.72774916, 65.31799316, 1455.70067316, 38.15364616, 0.73770616, 0.04746916, 2
6,  SC 2.14.JPG, 54.39106816, 1272.42799016, 35.67110916, 0.76003916, -0.10759116, 72.31628216, 1371.73464216, 37.03693616, 0.42327416, -0.39512716, 30.48598716, 817.99909416, 28.60068316, 1.50354616, 2.32893716,  45.69981016, 158.57438516, 12.59263216, 0.15488216, 0.21476616, 160.57888616, 2812.53407616, 53.03333016, -0.19765616, -0.83374816, 73.24153616, 1384.91429316, 37.21443716, 0.40578516, -0.43291216, 2
6,  SC 2.15.JPG, 45.61534616, 1106.65558016, 33.26643316, 1.12198916, 0.91247216, 61.13375116, 1283.83723716, 35.83067516, 0.68139016, -0.08811216, 28.04038616, 645.77023416, 25.41201016, 1.58940216, 2.81450916,  48.48878616, 221.60026916, 14.88624416, 0.28557616, 0.21126916, 149.65561516, 2567.18280116, 50.66737416, -0.05732416, -0.80665216, 62.21347216, 1323.92084316, 36.38572316, 0.66258316, -0.15015916, 2
6,  SC 2.16.JPG, 53.84012916, 1851.92892216, 43.03404416, 1.01536516, 0.19968316, 65.55941216, 1937.16539416, 44.01324116, 0.87845216, 0.01441516, 36.89427516, 1284.63851516, 35.84185416, 1.77137316, 2.98794116,  48.93438816, 233.88024716, 15.29314416, -0.00844916, -0.42310216, 127.45998416, 2475.33097116, 49.75269816, 0.17160516, -0.58757916, 66.92603116, 1991.67768916, 44.62821616, 0.83245316, -0.10984116, 2
6,  SC 2.17.JPG, 37.51008716, 1116.98628416, 33.42134516, 1.43197016, 1.67639716, 48.02075616, 1253.46928916, 35.40436816, 1.07925316, 0.60954216, 25.95669916, 633.68816616, 25.17316416, 1.92085316, 4.06486616,  51.95728216, 277.50579416, 16.65850516, 0.11260416, -0.33311516, 125.82625316, 2461.34592816, 49.61195316, 0.37967416, -0.52198216, 48.69981016, 1289.14586916, 35.90467816, 1.06570416, 0.54634916, 2
6,  SC 2.18.JPG, 48.00555816, 1562.65491016, 39.53043016, 1.08607516, 0.43877716, 61.62249816, 1685.17109916, 41.05083616, 0.82116316, 0.00101616, 29.23547216, 1033.06823916, 32.14137916, 1.87911516, 3.67506616,  48.08423116, 196.87197716, 14.03110716, 0.40396816, 0.09934116, 150.80654616, 3017.30133616, 54.92996816, -0.11955216, -0.85218516, 62.28507016, 1710.83391516, 41.36222816, 0.80090516, -0.05742816, 2
6,  SC 2.19.JPG, 44.11886316, 1141.92795316, 33.79242416, 1.03294916, 0.35796416, 58.76829816, 1191.36056216, 34.51609116, 0.75309616, -0.06240216, 29.02833616, 700.47719616, 26.46653016, 1.59169216, 2.64427516,  48.87600616, 197.93253716, 14.06885016, -0.27710116, -0.38143216, 145.25413016, 2205.53473116, 46.96312116, 0.09210116, -0.60586516, 59.93749816, 1240.21820316, 35.21673216, 0.72915116, -0.15708316, 2
6,  SC 2.2.JPG, 41.95833216, 977.70393116, 31.26825816, 1.15107816, 0.69639616, 57.12170116, 1053.28422416, 32.45434116, 0.60833916, -0.33484416, 23.83764116, 402.34093216, 20.05843816, 1.53046516, 2.48919116,  48.38240016, 202.88937116, 14.24392416, 0.43005916, 0.63481016, 152.37070016, 2575.44677116, 50.74886016, -0.08681716, -0.84578716, 57.90601316, 1088.17611516, 32.98751516, 0.60429316, -0.36547616, 2
6,  SC 2.20.JPG, 51.71170416, 1744.18629816, 41.76345616, 1.08938916, 0.42546616, 65.48835916, 1959.26005816, 44.26353016, 0.80600216, -0.12722616, 36.88603416, 980.36647216, 31.31080416, 1.43971316, 1.99948216,  53.30217316, 320.63433516, 17.90626516, 0.05909816, -0.71496816, 122.46651416, 2351.47379716, 48.49199716, 0.55349716, -0.31343316, 66.39044616, 1992.78337016, 44.64060216, 0.77703316, -0.20198416, 2
6,  SC 2.3.JPG, 41.58323916, 902.18376316, 30.03637416, 1.21870416, 0.99205316, 56.71975016, 995.06496916, 31.54465016, 0.67845416, -0.03824116, 25.78081416, 475.80358416, 21.81292216, 1.52327116, 2.50799016,  48.55323216, 189.61458616, 13.77006116, 0.27024216, 0.63172916, 146.33202516, 2579.51861316, 50.78896216, 0.04817516, -0.82692916, 57.48443316, 1027.55926016, 32.05556516, 0.67937416, -0.07783316, 2
6,  SC 2.4.JPG, 55.35328616, 1779.35155016, 42.18236116, 0.73409116, -0.55358416, 64.79418516, 1764.56624516, 42.00674016, 0.65146516, -0.45586316, 33.29284416, 943.49497416, 30.71636316, 1.47187016, 1.96324416,  46.60702816, 248.72685416, 15.77107716, 0.23234416, -0.57613316, 133.41726616, 2719.81993516, 52.15189316, 0.38189016, -0.55806916, 66.73420916, 1871.47580416, 43.26055716, 0.59172916, -0.62574716, 2
6,  SC 2.5.JPG, 35.80464116, 1081.20602216, 32.88169716, 1.62085816, 2.56117516, 46.87884316, 1193.77265616, 34.55101516, 1.29055516, 1.53710616, 24.29987916, 585.17342116, 24.19035816, 2.22664016, 6.13769616,  50.83632016, 243.91346316, 15.61772916, -0.06716016, -0.38081716, 133.94503816, 2143.43295816, 46.29722416, 0.22764516, -0.57044616, 47.67197916, 1231.63806416, 35.09470116, 1.26150116, 1.37708116, 2
6,  SC 2.6.JPG, 42.42053116, 1431.57106716, 37.83610816, 1.26879316, 1.01143716, 53.11470416, 1611.12650716, 40.13884016, 1.11417716, 0.73800316, 26.49850416, 859.05409716, 29.30962516, 2.16591616, 5.07557216,  48.49893116, 240.06886916, 15.49415616, 0.10963016, -0.46550216, 140.46791316, 2410.77280816, 49.09962116, 0.23593216, -0.58796916, 54.08411416, 1636.59869316, 40.45489716, 1.06672516, 0.59321216, 2
6,  SC 2.7.JPG, 57.02437116, 2026.83758516, 45.02041316, 1.02397316, 0.18895116, 72.64854016, 2007.55757216, 44.80577616, 0.74710816, -0.18489416, 33.94725416, 1055.08324016, 32.48204516, 1.84089716, 3.81018916,  47.88968816, 190.61194616, 13.80622916, -0.03521616, -0.42703016, 145.20717516, 2492.14155916, 49.92135416, 0.09588316, -0.62983116, 73.91911216, 2092.80473716, 45.74718316, 0.72488716, -0.27579816, 2
